codigo,producto,precio_c_iva,,,,
JSA-243,Junta Mercedes Benz 1215 intermedio,3423.87,,,,
JSA-244,Junta Mercedes Benz 710,3423.87,,,,
JSA-248,Junta sal.catal.VW Golf D,2836.92,,,,
JSA-249,Junta sal.escape Polo Diesel,2106.5,,,,
JSA-250,Junta sal.Ford Focus-Fiesta,1565.21,,,,
JSA-251,Junta Sal.Esc.Renault Megane,2999.96,,,,
JSA-252,Junta Sal.Esc.Peugeot 405/ Escort,1565.21,,,,
JSA-254,Junta Sal.Esc.Fiat 619-N1,4108.65,,,,
JSA-255,Junta Sal.Esc.Turbo M.Benz 1517,2811.64,,,,
JSA-256,Junta Sal.Esc.M.Benz 355,3423.87,,,,
JSA-257,Junta Sal.Esc.Toyota 62mm x 78mm.,4402.12,,,,
JSA-257/1,Junta Aro Univ.40x52x4.5mm,4891.25,,,,
JSA-258,Junta Sal.Esc.Toyota 49mm.x 36mm.,4089.66,,,,
JSA-258/1,Junta Aro Univ.43x55x5.25mm,5380.37,,,,
JSA-259,Junta Aro Univ.44.5x57x4.5mm.,4891.25,,,,
JSA-259/1,Junta Aro Univ.50.7x62x4.5mm,6117.33,,,,
JSA-260,Junta Aro Univ.56x67x5.25mm.,6117.33,,,,
JSA-261,Junta Aro Univ.60x70x5.26mm.,6847.75,,,,
JSA-262,Junta Aro Univ.71x82x5.20mm.,7630.35,,,,
JSA-268,Junta sal.Esc.Peugeot 405 TD,2739.1,,,,
JSA-269,Junta Peug.206-207/Citroen C3 1600-16V,3717.35,,,,
JSA-270,Junta VW Bora 2.0 - Acople equipo,2054.4,,,,
JSA-271,Junta VW Bora 1.8 Turbo,3554.3,,,,
JSA-272,Junta Sal. Esc. Renault-Ford (Megane-Mondeo-Focus),2934.75,,,,
JSA-273,Junta Salida de Escape Fiat (Uno. Palio - 1.0-1.3),1565.21,,,,
JSA-275,Junta Ford ranger 3.2 td,2739.1,,,,
JSA-276,Ranger 3.2 td,2054.33,,,,
JSA-278,Junta Toyota hilux 2.8 td,1565.21,,,,
JSA-279,Junta Peugeot 1.6 thp,1826.07,,,,
JSA-281,Junta Chevrolet S-10 2.8 td,1565.21,,,,
JSA-283,Junta VW polo 1.6 msi,1565.21,,,,
JSA-285,Junta Amarok v6,2739.1,,,,
JSA-286,Junta Chevrolet S-10 2.8 TD,3423.87,,,,
JSA-287,Junta Peugeot Boxer 2.2 HDI,3423.87,,,,
JSA-288,Junta Volkswagen Up 1.0,1630.42,,,,
JSU-1,Junta Chevrolet C20 /Ac.Prens.,4426.76,,,,
JSU-2,Junta Chevrolet Chevette/Ac.Prens.,3085.44,,,,
JSU-3,Jta.Ch.Corsa-Monsa-Vectra/P.306/405/Ac.Prens.,3206.51,,,,
JSU-4,Jta.Chrysler Neon 2.2L/2.5L c/conv./Ac.Prens.,7540.8,,,,
JSU-5,Jun. Chrys. caravan/ Shadow/ Sidwa,5528.36,,,,
JSU-6,Junta Daewo Espero Acero Prensado,3564.69,,,,
JSU-7,Junta Deutz F3L/4/651 Ac.Prensado,7197.74,,,,
JSU-8,Junta Fiat Duna/Uno/Ducato-Acero Prensado,2915.02,,,,
JSU-9,Junta Ford Escort-Acero Prensado,3085.44,,,,
JSU-10,Junta Ford Escort Motor Zetec-Ac.Prensado,4707.69,,,,
JSU-11,Junta Ford Explorer/Ranger Ac.Prensado,4190.58,,,,
JSU-12,Junta Ford Falcon Acero Prensado,3520.65,,,,
JSU-13,Junta Ford Fiesta Acero Prensado,4330.82,,,,
JSU-14,Junta Ford Galaxy Acero Prensado,3085.44,,,,
JSU-15,Junta Ford Max Econo Acero Prensado,3520.65,,,,
JSU-16,Junta Ford Mondeo Acero Prensado,5984.07,,,,
JSU-17,Junta Ford F100/F150 mwn-acero,4185.55,,,,
JSU-18,Junta Ford F14000 MWM Diesel-Ac.Prensado,3630.32,,,,
JSU-19,Junta Ford F4000 MWM Diesel Ac.Prensado,3434.62,,,,
JSU-20,Junta Jeep Cherokee-Ac.Prensado,3992.09,,,,
JSU-21,Junta Peugeot 205 Acero Prensado,5047.7,,,,
JSU-22,Junta Peugeot 405 SR Acero Prensado,4426.76,,,,
JSU-23,Jta.Citr”en C3/Peugeot 206-Naf-Ac.Prensado,3085.44,,,,
JSU-24,Junta Peugeot 306 Turbo Diesel-Ac.Prensado,4190.58,,,,
JSU-25,Junta Rastrojero Acero Prensado,3085.44,,,,
JSU-26,Jta.Ren.R-9/R-11/R-19/Traffic 1.6L-Ac.Prens.,3992.09,,,,
JSU-27,Jta.Renault 19/Clio 1.7L/1.8L-Ac.Prens.,5047.7,,,,
JSU-28,Jta.Renault Clio II-Ac.Prensado,3085.44,,,,
JSU-29,Junta Renault Laguna Ac.Prensado,7273.81,,,,
JSU-30,Junta Renault Megane Bic-Ac.Prensado,3992.09,,,,
JSU-31,Jta.Volkswagen Transporter-Ac.Prensado,5984.07,,,,
JSU-32,Junta Peugeot 405 SRI-Acero Prensado,4707.69,,,,
JSU-36,Jta Volksw.Polo/Caddy Dies-Ac.Prensado,5440.63,,,,
JSU-37,Jta.VW Gol/Gol Country/Saveiro/Santana-Ac.Prens.,3352.92,,,,
